what,kind,bundleId,bundleVersion,description,time
stopped,bundle,net.sf.pascaline.ui,0.5.4.200902201919,net.sf.pascaline.ui,1474890105771
stopped,bundle,net.sf.pascaline.cdtinterface,0.5.7.200902201919,net.sf.pascaline.cdtinterface,1474890105771
stopped,bundle,org.eclipse.cdt.launch,5.0.2.200901300802,org.eclipse.cdt.launch,1474890105771
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200901300802,org.eclipse.cdt.debug.ui,1474890105771
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200901300802,org.eclipse.cdt.managedbuilder.ui,1474890105771
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200901300802,org.eclipse.cdt.make.ui,1474890105771
stopped,bundle,org.eclipse.cdt.ui,5.0.2.200901300802,org.eclipse.cdt.ui,1474890105771
stopped,bundle,org.eclipse.dltk.ruby.debug.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.debug.ui,1474890105771
stopped,bundle,org.eclipse.dltk.ruby.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.ui,1474890105771
stopped,bundle,org.eclipse.dltk.ruby.activestatedebugger,0.95.0.v20080604-1628,org.eclipse.dltk.ruby.activestatedebugger,1474890105771
stopped,bundle,org.eclipse.dltk.ruby.basicdebugger,0.95.1.v20080626-2043,org.eclipse.dltk.ruby.basicdebugger,1474890105771
stopped,bundle,org.eclipse.dltk.ruby.fastdebugger,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.fastdebugger,1474890105787
stopped,bundle,org.eclipse.dltk.testing,0.95.0.v20080609-1540,org.eclipse.dltk.testing,1474890105787
stopped,bundle,org.eclipse.dltk.debug.ui,0.95.1.v20080903-1434,org.eclipse.dltk.debug.ui,1474890105787
stopped,bundle,org.eclipse.dltk.validators.ui,0.95.1.v20080707-1511,org.eclipse.dltk.validators.ui,1474890105787
stopped,bundle,org.eclipse.dltk.ui,0.95.1.v20080920-R0951,org.eclipse.dltk.ui,1474890105787
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1474890105787
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1474890105787
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1474890105787
stopped,bundle,org.eclipse.team.svn.ui,0.7.3.I20080814-1500,org.eclipse.team.svn.ui,1474890105787
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1474890105787
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1474890105787
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1474890105787
stopped,bundle,de.leiffrenzel.fp.haskell.ghccompiler,0.10.0,de.leiffrenzel.fp.haskell.ghccompiler,1474890105787
stopped,bundle,de.leiffrenzel.fp.haskell,0.10.0,de.leiffrenzel.fp.haskell,1474890105787
